k,p,simulation,model
29,0.0,flu,EpiEstim
30,0.0,flu,EpiEstim
1,1.573859104448209e-57,flufilt,EpiEstim
2,0.9999999992322137,flufilt,EpiEstim
3,7.677863016833487e-10,flufilt,EpiEstim
4,3.5998701872153565e-19,flufilt,EpiEstim
5,9.330556931822364e-24,flufilt,EpiEstim
6,1.0773112518565153e-26,flufilt,EpiEstim
7,2.011126220562195e-31,flufilt,EpiEstim
8,5.6033778777378395e-36,flufilt,EpiEstim
9,2.946644051995058e-41,flufilt,EpiEstim
10,1.0412785678479923e-46,flufilt,EpiEstim
11,2.8948727355945918e-52,flufilt,EpiEstim
12,4.6642395646808014e-57,flufilt,EpiEstim
13,1.0242901941501366e-60,flufilt,EpiEstim
14,6.355800399745067e-64,flufilt,EpiEstim
15,7.391418927378498e-67,flufilt,EpiEstim
16,1.588923371492845e-69,flufilt,EpiEstim
17,4.795010468673752e-72,flufilt,EpiEstim
18,2.4547679020182673e-74,flufilt,EpiEstim
19,8.284832039112112e-77,flufilt,EpiEstim
20,5.019852709841125e-79,flufilt,EpiEstim
21,5.646200427356337e-81,flufilt,EpiEstim
22,2.656264782666545e-82,flufilt,EpiEstim
23,1.9665631613724774e-83,flufilt,EpiEstim
24,1.9455368244919927e-84,flufilt,EpiEstim
25,1.1681165514183371e-85,flufilt,EpiEstim
26,1.818651585252943e-86,flufilt,EpiEstim
27,2.382113738994632e-87,flufilt,EpiEstim
28,2.552582931152963e-88,flufilt,EpiEstim
29,3.164554441613978e-89,flufilt,EpiEstim
30,4.380952537961412e-90,flufilt,EpiEstim
1,1.266588778895582e-39,sars,EpiEstim
2,1.0,sars,EpiEstim
3,9.389970021772878e-21,sars,EpiEstim
4,3.573875522213417e-46,sars,EpiEstim
5,5.06543192081276e-69,sars,EpiEstim
6,3.050637325406322e-91,sars,EpiEstim
7,1.1119077826442847e-105,sars,EpiEstim
8,2.578281416314428e-115,sars,EpiEstim
9,4.81215237992246e-122,sars,EpiEstim
10,6.6625304932755214e-127,sars,EpiEstim
11,3.0935244288158943e-129,sars,EpiEstim
12,8.077050274863948e-131,sars,EpiEstim
13,5.804792714760775e-131,sars,EpiEstim
14,3.107942430002929e-131,sars,EpiEstim
15,1.3891883736806882e-130,sars,EpiEstim
16,2.4841094178423594e-129,sars,EpiEstim
17,8.523447275215466e-129,sars,EpiEstim
18,9.088392564423572e-130,sars,EpiEstim
19,2.583561557435031e-132,sars,EpiEstim
20,1.684509295087179e-136,sars,EpiEstim
21,1.1226802180340149e-141,sars,EpiEstim
22,2.2068065801969814e-146,sars,EpiEstim
23,6.273399064929222e-150,sars,EpiEstim
24,3.096905282415942e-153,sars,EpiEstim
25,9.580845675740507e-157,sars,EpiEstim
26,8.458367134433094e-160,sars,EpiEstim
27,8.800067752943334e-163,sars,EpiEstim
28,2.0608851790185916e-165,sars,EpiEstim
29,2.0470772814270684e-167,sars,EpiEstim
30,7.028218643656912e-169,sars,EpiEstim
1,4.5529674009592354e-63,sarsfilt,EpiEstim
2,0.9999999998892255,sarsfilt,EpiEstim
3,1.1077445832734355e-10,sarsfilt,EpiEstim
4,1.8248036820094157e-27,sarsfilt,EpiEstim
5,5.189602458103554e-45,sarsfilt,EpiEstim
6,5.941276082501025e-61,sarsfilt,EpiEstim
7,9.844886015191396e-74,sarsfilt,EpiEstim
8,8.908705332230286e-83,sarsfilt,EpiEstim
9,1.8267276293296962e-88,sarsfilt,EpiEstim
10,1.1085743404225727e-91,sarsfilt,EpiEstim
11,2.1697501621756523e-93,sarsfilt,EpiEstim
12,2.455451771977425e-94,sarsfilt,EpiEstim
13,6.7169055608136e-95,sarsfilt,EpiEstim
14,2.122180758453353e-95,sarsfilt,EpiEstim
15,4.061732685536997e-96,sarsfilt,EpiEstim
16,2.2075546524621225e-97,sarsfilt,EpiEstim
17,5.4314476689306135e-99,sarsfilt,EpiEstim
18,2.4713113064461094e-101,sarsfilt,EpiEstim
19,2.1375748172482843e-104,sarsfilt,EpiEstim
20,4.027063548325331e-108,sarsfilt,EpiEstim
21,7.050949711433705e-112,sarsfilt,EpiEstim
22,2.4536326717858963e-115,sarsfilt,EpiEstim
23,1.4792349990171248e-118,sarsfilt,EpiEstim
24,1.4900547191282313e-121,sarsfilt,EpiEstim
25,1.5502615043457002e-124,sarsfilt,EpiEstim
26,1.8727153712802023e-127,sarsfilt,EpiEstim
27,3.5412623008189164e-130,sarsfilt,EpiEstim
28,1.6742218122939998e-132,sarsfilt,EpiEstim
29,2.3600276057481983e-134,sarsfilt,EpiEstim
30,9.273733925122641e-136,sarsfilt,EpiEstim
